Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Components	Taxonomic lineage	Genome assembly ID	Genome representation
UP000298787	Collichthys lucidus (Big head croaker) (Sciaena lucida)	240159	27208	C:88.0%[S:67.0%,D:20.9%],F:3.8%,M:8.2%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Eupercaria, Eupercaria incertae sedis, Sciaenidae, Collichthys	GCA_004119915.2	full
UP000299084	Camelus dromedarius (Dromedary) (Arabian camel)	9838	31080	C:71.3%[S:50.8%,D:20.6%],F:7.6%,M:21.0%,n:13335	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome X; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome 29; Chromosome 30; Chromosome 31; Chromosome 32; Chromosome 33; Chromosome 34; Chromosome 35; Chromosome 36; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Tylopoda, Camelidae, Camelus	GCA_000803125.3	full
UP000301870	Spodoptera litura (Asian cotton leafworm)	69820	20624	C:99.7%[S:69.8%,D:29.8%],F:0.2%,M:0.2%,n:5286	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome 29; Chromosome 30; Chromosome Z; Mitochondrion MT; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera, Glossata, Neolepidoptera, Heteroneura, Ditrysia, Obtectomera, Noctuoidea, Noctuidae, Amphipyrinae, Spodoptera	GCF_002706865.2	full
UP000308267	Opisthorchis felineus	147828	18330	C:77.7%[S:50.2%,D:27.5%],F:4.1%,M:18.2%,n:954	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Platyhelminthes, Trematoda, Digenea, Opisthorchiida, Opisthorchiata, Opisthorchiidae, Opisthorchis	GCA_004794785.1	full
UP000310200	Temnothorax longispinosus	300112	13035	C:83.4%[S:82.9%,D:0.5%],F:3.4%,M:13.2%,n:5991	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Hymenoptera, Apocrita, Aculeata, Formicoidea, Formicidae, Myrmicinae, Crematogastrini, Temnothorax	GCA_004794745.1	full
UP000314980	Lates calcarifer (Barramundi) (Holocentrus calcarifer)	8187	57546	C:93.4%[S:49.7%,D:43.7%],F:3.2%,M:3.4%,n:3640	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Carangaria, Carangaria incertae sedis, Centropomidae, Lates	GCA_900066035.1	full
UP000314981	Bos indicus x Bos taurus (Hybrid cattle)	30522	42150	C:95.3%[S:51.2%,D:44.1%],F:0.4%,M:4.3%,n:13335	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome x; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome 29; Mitochondrion; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Ruminantia, Pecora, Bovidae, Bovinae, Bos	GCA_003369685.2	full
UP000314982	Hucho hucho (huchen)	62062	90501	C:89.7%[S:31.6%,D:58.1%],F:4.1%,M:6.3%,n:3640	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Protacanthopterygii, Salmoniformes, Salmonidae, Salmoninae, Hucho	GCA_003317085.1	full
UP000314983	Electrophorus electricus (Electric eel) (Gymnotus electricus)	8005	52901	C:93.7%[S:52.2%,D:41.5%],F:1.9%,M:4.5%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Mitochondrion MT; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Characiphysae, Gymnotiformes, Gymnotoidei, Gymnotidae, Electrophorus	GCA_013358815.1	full
UP000314986	Callorhinchus milii (Ghost shark)	7868	49246	C:90.1%[S:39.4%,D:50.6%],F:5.0%,M:4.9%,n:3354	Unknown	Unassembled WGS sequence; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Chondrichthyes, Holocephali, Chimaeriformes, Callorhinchidae, Callorhinchus	GCA_000165045.2	full
UP000316079	Danionella cerebrum	2873325	32815	C:84.1%[S:59.1%,D:25.0%],F:4.2%,M:11.7%,n:3640	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Cypriniphysae, Cypriniformes, Cyprinoidei, Danionidae, Danioninae, Danionella	GCA_007224835.1	full
UP000316759	Fasciola gigantica (Giant liver fluke)	46835	12643	C:59.9%[S:58.8%,D:1.0%],F:11.2%,M:28.9%,n:954	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Platyhelminthes, Trematoda, Digenea, Plagiorchiida, Echinostomata, Echinostomatoidea, Fasciolidae, Fasciola	GCA_006461475.1	full
UP000319801	Bagarius yarrelli (Goonch) (Bagrus yarrelli)	175774	17117	C:65.5%[S:63.8%,D:1.7%],F:6.1%,M:28.4%,n:3640	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Characiphysae, Siluriformes, Siluroidei, Sisoridae, Sisorinae, Bagarius	GCA_005784505.1	full
UP000322000	Trichoplusia ni (Cabbage looper)	7111	20891	C:98.7%[S:65.6%,D:33.1%],F:0.2%,M:1.1%,n:5286	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera, Glossata, Neolepidoptera, Heteroneura, Ditrysia, Obtectomera, Noctuoidea, Noctuidae, Plusiinae, Trichoplusia	GCF_003590095.1	full
UP000322234	Bos mutus (wild yak)	72004	21168	C:85.3%[S:84.1%,D:1.2%],F:2.8%,M:11.9%,n:13335	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Ruminantia, Pecora, Bovidae, Bovinae, Bos	GCA_007646595.3	full
UP000324632	Triplophysa tibetana	1572043	23866	C:91.1%[S:87.9%,D:3.2%],F:2.0%,M:6.9%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Cypriniphysae, Cypriniformes, Cobitoidei, Nemacheilidae, Triplophysa	GCA_008369825.1	full
UP000324832	Leptidea sinapis	189913	19862	C:89.6%[S:80.8%,D:8.8%],F:4.2%,M:6.2%,n:5286	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera, Glossata, Neolepidoptera, Heteroneura, Ditrysia, Obtectomera, Papilionoidea, Pieridae, Dismorphiinae, Leptidea	GCA_900199415.2	full
UP000325440	Cinara cedri	506608	22140	C:95.5%[S:66.4%,D:29.0%],F:0.2%,M:4.3%,n:2510	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Paraneoptera, Hemiptera, Sternorrhyncha, Aphidomorpha, Aphidoidea, Aphididae, Lachninae, Cinara	GCA_902439185.1	full
UP000326458	Muntiacus muntjak (Barking deer) (Indian muntjac)	9888	24841	C:88.9%[S:86.9%,D:2.0%],F:4.5%,M:6.6%,n:13335	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Ruminantia, Pecora, Cervidae, Muntiacinae, Muntiacus	GCA_008782695.1	full
UP000327044	Photinus pyralis (Common eastern firefly) (Lampyris pyralis)	7054	14952	C:94.5%[S:83.5%,D:11.1%],F:0.4%,M:5.0%,n:2124	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Coleoptera, Polyphaga, Elateriformia, Elateroidea, Lampyridae, Lampyrinae, Photinus	GCA_008802855.1	full
UP000327468	Pangasianodon hypophthalmus (Striped catfish) (Helicophagus hypophthalmus)	310915	21221	C:91.5%[S:90.2%,D:1.3%],F:2.0%,M:6.6%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome 29; Chromosome 30; Mitochondrion MT; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Characiphysae, Siluriformes, Siluroidei, Pangasiidae, Pangasianodon	GCA_009078355.1	full
UP000327493	Etheostoma spectabile (orangethroat darter)	54343	18371	C:59.8%[S:57.4%,D:2.4%],F:6.4%,M:33.8%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Eupercaria, Perciformes, Percoidei, Percidae, Etheostomatinae, Etheostoma, Oligocephalus	GCA_008692095.1	full
UP000335636	Marmota monax (Woodchuck)	9995	39793	C:81.1%[S:53.8%,D:27.2%],F:5.9%,M:13.1%,n:13798	Unknown	Unassembled WGS sequence; Chromosome Mitochondria	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires, Rodentia, Sciuromorpha, Sciuridae, Xerinae, Marmotini, Marmota	GCA_901343595.1	full
UP000386466	Lynx pardinus (Iberian lynx) (Felis pardina)	191816	30929	C:87.2%[S:64.5%,D:22.7%],F:3.2%,M:9.6%,n:14502	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Carnivora, Feliformia, Felidae, Felinae, Lynx	GCA_900661375.1	full
UP000410492	Callosobruchus maculatus (Southern cowpea weevil) (Pulse bruchid)	64391	30448	C:79.8%[S:59.4%,D:20.3%],F:7.5%,M:12.7%,n:2124	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota, Neoptera, Endopterygota, Coleoptera, Polyphaga, Cucujiformia, Chrysomeloidea, Chrysomelidae, Bruchinae, Bruchini, Callosobruchus	GCA_900659725.1	full
UP000424527	Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea)	215358	23960	C:78.8%[S:73.0%,D:5.7%],F:4.7%,M:16.5%,n:3640	Unknown	Chromosome I; Chromosome II; Chromosome III; Chromosome IV; Chromosome V; Chromosome VI; Chromosome VII; Chromosome VIII; Chromosome IX; Chromosome X; Chromosome XI; Chromosome XII; Chromosome XIII; Chromosome XIV; Chromosome XV; Chromosome XVI; Chromosome XVII; Chromosome XVIII; Chromosome XIX; Chromosome XX; Chromosome XXI; Chromosome XXII; Chromosome XXIII; Chromosome XXIV; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Eupercaria, Eupercaria incertae sedis, Sciaenidae, Larimichthys	GCA_003711585.2	full
UP000437017	Balaenoptera physalus (Fin whale) (Balaena physalus)	9770	19643	C:52.3%[S:51.8%,D:0.5%],F:13.9%,M:33.8%,n:13335	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Whippomorpha, Cetacea, Mysticeti, Balaenopteridae, Balaenoptera	GCA_008795845.1	full
UP000440578	Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite)	1232801	26159	C:85.3%[S:52.3%,D:33.0%],F:5.8%,M:8.9%,n:1013	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Crustacea, Multicrustacea, Thecostraca, Cirripedia, Thoracica, Thoracicalcarea, Balanomorpha, Balanoidea, Balanidae, Amphibalaninae, Amphibalanus	GCA_009805615.1	full
UP000465112	Perca fluviatilis (European perch)	8168	24246	C:94.5%[S:93.4%,D:1.0%],F:1.9%,M:3.6%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Mitochondrion MT; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Eupercaria, Perciformes, Percoidei, Percidae, Percinae, Perca	GCA_010015445.1	full
UP000471633	Schistosoma haematobium (Blood fluke)	6185	14543	C:77.1%[S:61.0%,D:16.1%],F:2.7%,M:20.1%,n:954	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome ZW; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Spiralia, Lophotrochozoa, Platyhelminthes, Trematoda, Digenea, Strigeidida, Schistosomatoidea, Schistosomatidae, Schistosoma	GCA_000699445.3	full
UP000472241	Lynx canadensis (Canada lynx) (Felis canadensis)	61383	35025	C:93.5%[S:57.8%,D:35.7%],F:0.8%,M:5.7%,n:14502	Unknown	Mitochondrion; Chromosome b2; Chromosome d3; Chromosome a2; Chromosome a1; Chromosome f2; Chromosome e3; Chromosome x; Chromosome b3; Chromosome a3; Chromosome e2; Chromosome b4; Chromosome c2; Chromosome b1; Chromosome f1; Chromosome d2; Chromosome d4; Chromosome d1; Chromosome c1; Chromosome e1; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Carnivora, Feliformia, Felidae, Felinae, Lynx	GCA_007474595.1	full
UP000472260	Sinocyclocheilus anshuiensis	1608454	100275	C:95.1%[S:19.6%,D:75.5%],F:2.0%,M:2.9%,n:3640	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Cypriniphysae, Cypriniformes, Cyprinoidei, Cyprinidae, Cyprininae, Sinocyclocheilus	GCA_001515605.1	full
UP000472261	Phasianus colchicus (Common pheasant)	9054	25507	C:94.3%[S:67.1%,D:27.2%],F:2.0%,M:3.7%,n:8338	Unknown	Whole Genome Shotgun Assembly; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Galloanserae, Galliformes, Phasianidae, Phasianinae, Phasianus	GCA_004143745.1	full
UP000472262	Sinocyclocheilus grahami (Dianchi golden-line fish) (Barbus grahami)	75366	102126	C:92.0%[S:24.6%,D:67.4%],F:3.2%,M:4.8%,n:3640	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Cypriniphysae, Cypriniformes, Cyprinoidei, Cyprinidae, Cyprininae, Sinocyclocheilus	GCA_001515645.1	full
UP000472263	Myripristis murdjan (pinecone soldierfish)	586833	55953	C:95.5%[S:52.6%,D:42.9%],F:1.6%,M:2.9%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Holocentrimorphaceae, Holocentriformes, Holocentridae, Myripristinae, Myripristis	GCA_902150065.1	full
UP000472264	Echeneis naucrates (Live sharksucker)	173247	54685	C:96.1%[S:54.0%,D:42.1%],F:1.4%,M:2.5%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Mitochondrion MT; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Carangaria, Carangiformes, Echeneidae, Echeneis	GCA_900963305.1	full
