contig	duplicated_BUSCO_unique_ids	duplicated_BUSCO_records	duplicated_BUSCO_ids	duplicated_BUSCO_region_span	on_BUSCO_duplication_rich_scaffold	BUSCO_duplication_scaffold_threshold
utg9251	3	3	186707at33208;271297at33208;574311at33208	utg9251:46517-72600	yes	3
utg9285	1	1	352600at33208	utg9285:4143-5568	no	3
utg9313	3	3	449139at33208;547099at33208;581621at33208	utg9313:608-472423	yes	3
utg9401	1	1	502407at33208	utg9401:74976-78559	no	3
utg950	1	1	561248at33208	utg950:2609-3937	no	3
utg9762	1	1	573313at33208	utg9762:2522-16181	no	3
utg9769	1	1	463071at33208	utg9769:30924-39801	no	3
utg977	1	1	545744at33208	utg977:2539-3753	no	3
utg983	1	2	391896at33208	utg983:120466-126825	no	3
utg989	3	3	455512at33208;576633at33208;642773at33208	utg989:10402-175011	yes	3
utg992	1	1	457777at33208	utg992:165732-172231	no	3
