contig	n_dark_candidate_ids	n_genes	n_transcripts	annotation_classes	candidate_region_span
utg219	9	81	162	function_dark_no_current_annotation	utg219:1424-595249
utg2196	1	7	12	function_dark_no_current_annotation	utg2196:2384-32087
utg21977	3	10	21	function_dark_no_current_annotation	utg21977:1562-48764
utg21979	1	2	2	function_dark_no_current_annotation	utg21979:14517-35242
utg2200	8	51	106	function_dark_no_current_annotation	utg2200:16100-612236
utg2201	2	14	37	function_dark_no_current_annotation	utg2201:229-75495
utg2205	6	26	73	function_dark_no_current_annotation	utg2205:7482-207415
utg221	7	45	90	function_dark_no_current_annotation	utg221:23196-426448
utg2216	4	51	133	function_dark_no_current_annotation	utg2216:582-516840
utg2246	8	109	272	function_dark_no_current_annotation	utg2246:1433-948728
utg225	21	137	326	function_dark_no_current_annotation	utg225:1631-1081762
utg2255	1	31	60	function_dark_no_current_annotation	utg2255:24631-207677
utg22559	1	10	18	function_dark_no_current_annotation	utg22559:461-75730
utg22669	1	7	16	function_dark_no_current_annotation	utg22669:3214-43702
utg2269	13	55	108	function_dark_no_current_annotation	utg2269:8571-248748
utg22693	1	31	68	function_dark_no_current_annotation	utg22693:664-240752
utg22722	1	14	28	function_dark_no_current_annotation	utg22722:487-71804
utg22736	1	9	16	function_dark_no_current_annotation	utg22736:11691-29904
utg2274	1	15	28	function_dark_no_current_annotation	utg2274:2313-106284
utg2279	2	28	58	function_dark_no_current_annotation	utg2279:692-250393
utg2291	7	44	97	function_dark_no_current_annotation	utg2291:12936-577595
utg2298	2	48	110	function_dark_no_current_annotation	utg2298:8807-351610
utg2299	3	22	42	function_dark_no_current_annotation	utg2299:11446-153535
utg2303	6	65	174	function_dark_no_current_annotation	utg2303:2674-591470
utg23030	1	6	12	function_dark_no_current_annotation	utg23030:3750-72613
utg23189	2	20	38	function_dark_no_current_annotation	utg23189:3642-109954
utg2323	1	11	26	function_dark_no_current_annotation	utg2323:506-110287
utg2327	3	40	85	function_dark_no_current_annotation	utg2327:12821-295520
utg23296	1	5	8	function_dark_no_current_annotation	utg23296:4401-29095
utg2338	5	24	58	function_dark_no_current_annotation	utg2338:28810-294961
utg234	11	147	359	function_dark_no_current_annotation	utg234:1487-1353165
utg2343	5	6	10	function_dark_no_current_annotation	utg2343:13280-62899
utg2350	2	39	87	function_dark_no_current_annotation	utg2350:12805-442669
utg2353	3	52	113	function_dark_no_current_annotation	utg2353:1630-330758
utg2356	5	38	74	function_dark_no_current_annotation	utg2356:212-207322
utg23582	1	3	4	function_dark_no_current_annotation	utg23582:8738-32871
utg236	5	63	159	function_dark_no_current_annotation	utg236:4190-662444
utg2367	2	33	72	function_dark_no_current_annotation	utg2367:6668-284957
utg237	5	37	74	function_dark_no_current_annotation	utg237:8724-390437
utg23708	3	16	30	function_dark_no_current_annotation	utg23708:175-49203
utg2371	4	77	156	function_dark_no_current_annotation	utg2371:1651-449095
utg2379	5	29	56	function_dark_no_current_annotation	utg2379:7165-353183
utg23803	4	13	24	function_dark_no_current_annotation	utg23803:24975-76718
utg24075	2	12	22	function_dark_no_current_annotation	utg24075:5671-100243
utg2417	1	50	147	function_dark_no_current_annotation	utg2417:3155-435135
utg2426	2	43	86	function_dark_no_current_annotation	utg2426:2978-396675
utg2427	4	27	54	function_dark_no_current_annotation	utg2427:8456-261291
utg2428	2	40	107	function_dark_no_current_annotation	utg2428:883-318576
utg243	15	100	260	function_dark_no_current_annotation	utg243:2526-852924
utg2433	2	3	4	function_dark_no_current_annotation	utg2433:15039-90923
utg24438	3	24	48	function_dark_no_current_annotation	utg24438:3942-177131
utg245	13	86	214	function_dark_no_current_annotation	utg245:397-846669
utg24611	1	14	26	function_dark_no_current_annotation	utg24611:4695-64513
utg24645	1	5	8	function_dark_no_current_annotation	utg24645:2273-21105
utg24706	2	30	62	function_dark_no_current_annotation	utg24706:2819-182102
utg24783	1	17	32	function_dark_no_current_annotation	utg24783:7594-110351
utg2483	1	61	128	function_dark_no_current_annotation	utg2483:2057-442271
utg2487	9	63	168	function_dark_no_current_annotation	utg2487:10970-584480
utg24929	4	22	42	function_dark_no_current_annotation	utg24929:4558-154903
utg25070	1	7	12	function_dark_no_current_annotation	utg25070:3733-67521
utg25103	2	5	8	function_dark_no_current_annotation	utg25103:5607-62871
utg25155	1	11	20	function_dark_no_current_annotation	utg25155:8301-120217
utg2521	1	21	48	function_dark_no_current_annotation	utg2521:10993-270174
utg2526	5	31	63	function_dark_no_current_annotation	utg2526:9001-302987
utg25265	1	11	20	function_dark_no_current_annotation	utg25265:13661-108185
utg2529	6	34	74	function_dark_no_current_annotation	utg2529:1870-269191
utg25311	2	8	14	function_dark_no_current_annotation	utg25311:9472-39346
utg25321	5	29	56	function_dark_no_current_annotation	utg25321:8642-188621
utg25450	2	14	26	function_dark_no_current_annotation	utg25450:31175-122273
utg255	6	46	104	function_dark_no_current_annotation	utg255:396-516863
utg256	1	41	124	function_dark_no_current_annotation	utg256:78-287297
utg25769	2	7	12	function_dark_no_current_annotation	utg25769:23209-72263
utg2581	1	19	36	function_dark_no_current_annotation	utg2581:12198-155622
utg25826	1	26	56	function_dark_no_current_annotation	utg25826:673-275452
utg2585	1	11	20	function_dark_no_current_annotation	utg2585:1264-119870
utg25859	1	2	2	function_dark_no_current_annotation	utg25859:43021-44621
utg25862	1	8	14	function_dark_no_current_annotation	utg25862:3847-50058
utg259	4	53	114	function_dark_no_current_annotation	utg259:17376-410859
utg2599	4	37	72	function_dark_no_current_annotation	utg2599:4349-240745
utg2600	7	38	86	function_dark_no_current_annotation	utg2600:2978-249919
utg2601	6	96	194	function_dark_no_current_annotation	utg2601:6216-656623
utg2603	2	47	107	function_dark_no_current_annotation	utg2603:8676-470735
utg2606	3	50	127	function_dark_no_current_annotation	utg2606:8715-461514
utg26084	1	2	2	function_dark_no_current_annotation	utg26084:42472-42788
utg26120	2	32	66	function_dark_no_current_annotation	utg26120:830-156864
utg2614	3	47	94	function_dark_no_current_annotation	utg2614:15782-581079
utg262	9	91	192	function_dark_no_current_annotation	utg262:3028-573342
utg26219	3	19	36	function_dark_no_current_annotation	utg26219:712-116480
utg26337	1	8	14	function_dark_no_current_annotation	utg26337:3307-107845
utg26474	1	2	2	function_dark_no_current_annotation	utg26474:9685-9922
utg26572	1	11	20	function_dark_no_current_annotation	utg26572:1722-62741
utg2661	1	2	2	function_dark_no_current_annotation	utg2661:81510-81819
utg2667	1	2	2	function_dark_no_current_annotation	utg2667:66028-66727
utg26697	2	11	22	function_dark_no_current_annotation	utg26697:707-109369
utg2672	2	12	22	function_dark_no_current_annotation	utg2672:9540-70118
utg2674	4	46	90	function_dark_no_current_annotation	utg2674:978-329936
utg268	7	32	75	function_dark_no_current_annotation	utg268:2484-279714
utg2682	3	25	54	function_dark_no_current_annotation	utg2682:3408-111772
utg2690	2	39	76	function_dark_no_current_annotation	utg2690:5251-197808
utg2698	1	6	15	function_dark_no_current_annotation	utg2698:11233-86836
utg27	8	147	350	function_dark_no_current_annotation	utg27:12025-1145450
utg2704	4	50	126	function_dark_no_current_annotation	utg2704:2211-458640
utg2713	1	7	12	function_dark_no_current_annotation	utg2713:32726-105877
utg2716	2	22	49	function_dark_no_current_annotation	utg2716:817-140658
utg27202	3	15	28	function_dark_no_current_annotation	utg27202:26156-67453
utg27299	1	7	14	function_dark_no_current_annotation	utg27299:15662-36120
utg27318	5	23	44	function_dark_no_current_annotation	utg27318:3360-88975
utg2733	5	21	41	function_dark_no_current_annotation	utg2733:13904-77568
utg27568	2	18	34	function_dark_no_current_annotation	utg27568:2589-67200
utg2757	7	82	174	function_dark_no_current_annotation	utg2757:3822-790983
utg276	8	57	132	function_dark_no_current_annotation	utg276:6753-552999
utg27676	1	6	10	function_dark_no_current_annotation	utg27676:13219-33369
utg2779	4	19	36	function_dark_no_current_annotation	utg2779:1432-140524
utg279	6	67	157	function_dark_no_current_annotation	utg279:1024-596376
utg2798	4	67	160	function_dark_no_current_annotation	utg2798:5113-540818
utg27988	1	13	28	function_dark_no_current_annotation	utg27988:326-129291
utg280	5	86	193	function_dark_no_current_annotation	utg280:3658-551104
utg2801	3	63	128	function_dark_no_current_annotation	utg2801:8235-502733
utg28015	2	6	14	function_dark_no_current_annotation	utg28015:9414-62110
utg28028	1	6	16	function_dark_no_current_annotation	utg28028:7242-41674
utg28077	4	13	24	function_dark_no_current_annotation	utg28077:382-42426
utg2814	2	40	84	function_dark_no_current_annotation	utg2814:5424-257285
utg2817	1	40	78	function_dark_no_current_annotation	utg2817:3298-288555
utg2818	11	96	198	function_dark_no_current_annotation	utg2818:1704-890551
utg28209	6	16	30	function_dark_no_current_annotation	utg28209:631-52607
utg2838	2	38	78	function_dark_no_current_annotation	utg2838:333-316294
utg2849	2	32	66	function_dark_no_current_annotation	utg2849:41445-468391
utg2858	1	42	97	function_dark_no_current_annotation	utg2858:220-331675
utg286	4	33	64	function_dark_no_current_annotation	utg286:18822-210709
utg2869	1	12	24	function_dark_no_current_annotation	utg2869:1227-89689
utg28737	1	25	48	function_dark_no_current_annotation	utg28737:12310-207315
utg288	1	2	2	function_dark_no_current_annotation	utg288:27491-33793
utg29	4	24	48	function_dark_no_current_annotation	utg29:812-173064
utg2901	7	31	60	function_dark_no_current_annotation	utg2901:10516-196595
utg2929	1	27	76	function_dark_no_current_annotation	utg2929:15407-276538
utg293	6	90	210	function_dark_no_current_annotation	utg293:3191-702650
utg2932	6	47	97	function_dark_no_current_annotation	utg2932:455-373046
utg29536	2	18	34	function_dark_no_current_annotation	utg29536:8040-100708
utg2967	9	47	104	function_dark_no_current_annotation	utg2967:11154-272871
utg2969	5	75	152	function_dark_no_current_annotation	utg2969:5847-535351
utg29733	4	13	24	function_dark_no_current_annotation	utg29733:2480-199985
utg298	19	113	242	function_dark_no_current_annotation	utg298:1700-659508
utg2994	6	109	258	function_dark_no_current_annotation	utg2994:448-850385
utg300	3	75	162	function_dark_no_current_annotation	utg300:700-564406
utg30049	2	17	32	function_dark_no_current_annotation	utg30049:2029-110282
utg301	11	167	432	function_dark_no_current_annotation	utg301:1737-1451500
utg3013	2	60	145	function_dark_no_current_annotation	utg3013:12045-613548
utg3019	15	71	177	function_dark_no_current_annotation	utg3019:1556-614371
utg302	3	53	123	function_dark_no_current_annotation	utg302:17-516219
utg3022	4	23	44	function_dark_no_current_annotation	utg3022:17104-136063
utg30399	2	10	18	function_dark_no_current_annotation	utg30399:3359-52203
utg3041	6	54	108	function_dark_no_current_annotation	utg3041:9901-603010
utg30470	2	5	8	function_dark_no_current_annotation	utg30470:9610-38198
utg30548	6	20	38	function_dark_no_current_annotation	utg30548:1431-110116
utg30575	2	9	21	function_dark_no_current_annotation	utg30575:6270-92008
utg307	2	3	4	function_dark_no_current_annotation	utg307:5262-235683
utg309	3	46	107	function_dark_no_current_annotation	utg309:293-294815
utg3090	14	49	96	function_dark_no_current_annotation	utg3090:1782-372818
utg3092	1	71	144	function_dark_no_current_annotation	utg3092:4500-583921
utg3093	2	17	35	function_dark_no_current_annotation	utg3093:6532-217973
utg31	10	93	187	function_dark_no_current_annotation	utg31:6775-447494
utg31256	1	2	2	function_dark_no_current_annotation	utg31256:84961-101335
utg31272	1	2	2	function_dark_no_current_annotation	utg31272:7534-20657
utg31304	2	17	35	function_dark_no_current_annotation	utg31304:1333-88246
utg31363	2	29	58	function_dark_no_current_annotation	utg31363:3646-136745
utg31428	2	3	4	function_dark_no_current_annotation	utg31428:5748-26421
utg31532	3	9	16	function_dark_no_current_annotation	utg31532:3879-81317
utg3155	5	50	98	function_dark_no_current_annotation	utg3155:83-361338
utg3158	6	83	168	function_dark_no_current_annotation	utg3158:596-631701
utg3159	2	16	32	function_dark_no_current_annotation	utg3159:7331-195656
utg3164	12	74	161	function_dark_no_current_annotation	utg3164:10365-816908
utg3169	1	16	30	function_dark_no_current_annotation	utg3169:2000-102942
utg3174	3	57	136	function_dark_no_current_annotation	utg3174:1897-420775
utg3178	2	9	16	function_dark_no_current_annotation	utg3178:9519-80459
utg31822	1	6	10	function_dark_no_current_annotation	utg31822:5029-69129
utg31945	6	21	40	function_dark_no_current_annotation	utg31945:9484-90119
utg3197	5	33	72	function_dark_no_current_annotation	utg3197:6217-509153
utg3199	12	65	128	function_dark_no_current_annotation	utg3199:6588-453599
utg320	7	160	432	function_dark_no_current_annotation	utg320:14617-1557491
utg3201	2	60	135	function_dark_no_current_annotation	utg3201:656-435759
utg32055	1	9	16	function_dark_no_current_annotation	utg32055:11349-70435
utg3210	4	41	84	function_dark_no_current_annotation	utg3210:6460-373292
utg3211	3	15	28	function_dark_no_current_annotation	utg3211:1348-84335
utg3220	1	10	19	function_dark_no_current_annotation	utg3220:17985-90254
utg3222	3	15	28	function_dark_no_current_annotation	utg3222:5176-90663
utg32260	1	2	2	function_dark_no_current_annotation	utg32260:5774-7683
utg32320	2	7	19	function_dark_no_current_annotation	utg32320:4608-66619
utg3235	3	27	81	function_dark_no_current_annotation	utg3235:945-284503
utg324	31	223	565	function_dark_no_current_annotation	utg324:51-2176775
utg32484	1	7	12	function_dark_no_current_annotation	utg32484:5124-65001
utg3260	4	41	117	function_dark_no_current_annotation	utg3260:23063-445945
utg3284	7	77	193	function_dark_no_current_annotation	utg3284:12721-607936
utg32914	1	10	20	function_dark_no_current_annotation	utg32914:23216-97566
utg3292	6	45	88	function_dark_no_current_annotation	utg3292:2285-242478
utg3295	1	20	38	function_dark_no_current_annotation	utg3295:13901-160455
utg32989	1	6	10	function_dark_no_current_annotation	utg32989:4355-39476
utg33038	2	7	12	function_dark_no_current_annotation	utg33038:1521-75787
utg33128	3	9	16	function_dark_no_current_annotation	utg33128:307-54485
utg332	3	11	20	function_dark_no_current_annotation	utg332:9041-46384
utg33235	1	6	10	function_dark_no_current_annotation	utg33235:13115-70222
utg3329	4	42	103	function_dark_no_current_annotation	utg3329:501-277524
utg33385	1	4	6	function_dark_no_current_annotation	utg33385:17491-29090
utg3339	3	28	54	function_dark_no_current_annotation	utg3339:264-205327
utg334	14	87	172	function_dark_no_current_annotation	utg334:2808-637204
utg33589	1	8	16	function_dark_no_current_annotation	utg33589:9337-59804
utg33682	2	21	40	function_dark_no_current_annotation	utg33682:580-99869
utg33757	2	34	66	function_dark_no_current_annotation	utg33757:734-56761
utg338	6	101	268	function_dark_no_current_annotation	utg338:5209-744346
utg3380	3	40	82	function_dark_no_current_annotation	utg3380:863-247478
utg33828	1	10	18	function_dark_no_current_annotation	utg33828:2135-121530
utg33938	3	45	92	function_dark_no_current_annotation	utg33938:415-228339
utg34	2	22	49	function_dark_no_current_annotation	utg34:24794-294935
utg3403	3	24	46	function_dark_no_current_annotation	utg3403:12490-309939
utg3409	2	27	59	function_dark_no_current_annotation	utg3409:3187-186203
utg34096	3	15	28	function_dark_no_current_annotation	utg34096:1963-64389
utg34135	2	7	12	function_dark_no_current_annotation	utg34135:2398-60828
utg343339	1	8	14	function_dark_no_current_annotation	utg343339:310-41465
utg3436	2	14	26	function_dark_no_current_annotation	utg3436:1213-132840
utg344	8	97	220	function_dark_no_current_annotation	utg344:3718-763223
utg3443	12	71	158	function_dark_no_current_annotation	utg3443:1218-618164
utg3447	2	29	56	function_dark_no_current_annotation	utg3447:27178-164449
utg34491	1	2	2	function_dark_no_current_annotation	utg34491:89048-92824
utg3452	1	20	40	function_dark_no_current_annotation	utg3452:284-221795
utg34572	1	7	12	function_dark_no_current_annotation	utg34572:707-44181
utg34597	1	19	40	function_dark_no_current_annotation	utg34597:1164-136320
utg3467	5	17	32	function_dark_no_current_annotation	utg3467:1470-157653
utg34691	5	21	48	function_dark_no_current_annotation	utg34691:261-126140
utg347	2	23	46	function_dark_no_current_annotation	utg347:12869-170557
utg3470	1	22	44	function_dark_no_current_annotation	utg3470:11667-207992
utg3474	6	33	70	function_dark_no_current_annotation	utg3474:723-527057
utg348	4	19	40	function_dark_no_current_annotation	utg348:2543-128321
utg3487	4	35	72	function_dark_no_current_annotation	utg3487:366-388287
utg349	1	9	18	function_dark_no_current_annotation	utg349:216-52852
utg34917	1	2	2	function_dark_no_current_annotation	utg34917:12588-16206
utg3499	1	11	20	function_dark_no_current_annotation	utg3499:17712-81394
utg35	3	28	60	function_dark_no_current_annotation	utg35:972-197857
utg351	1	2	2	function_dark_no_current_annotation	utg351:224620-225687
utg35117	1	6	10	function_dark_no_current_annotation	utg35117:61-20894
utg3522	3	87	224	function_dark_no_current_annotation	utg3522:1004-867124
utg3536	2	27	60	function_dark_no_current_annotation	utg3536:828-196310
utg3550	2	22	42	function_dark_no_current_annotation	utg3550:4860-134258
utg35510	1	4	8	function_dark_no_current_annotation	utg35510:2805-42528
utg3553	3	34	72	function_dark_no_current_annotation	utg3553:1237-200572
utg356	7	169	426	function_dark_no_current_annotation	utg356:12552-1169653
utg35893	1	6	10	function_dark_no_current_annotation	utg35893:23726-74415
utg359	4	40	83	function_dark_no_current_annotation	utg359:8466-342429
utg35997	1	9	16	function_dark_no_current_annotation	utg35997:1099-35685
utg36040	1	4	8	function_dark_no_current_annotation	utg36040:19585-49407
utg3605	5	55	108	function_dark_no_current_annotation	utg3605:10-306249
utg36089	1	13	24	function_dark_no_current_annotation	utg36089:426-43145
utg3609	1	25	54	function_dark_no_current_annotation	utg3609:863-214767
utg3622	4	32	62	function_dark_no_current_annotation	utg3622:906-209413
utg363	1	9	16	function_dark_no_current_annotation	utg363:1604-105407
utg364	2	70	166	function_dark_no_current_annotation	utg364:140-721989
utg3642	4	19	43	function_dark_no_current_annotation	utg3642:3825-177464
utg36508	2	7	12	function_dark_no_current_annotation	utg36508:10789-29513
utg3669	3	14	26	function_dark_no_current_annotation	utg3669:18621-80384
utg36717	1	21	42	function_dark_no_current_annotation	utg36717:1822-113094
utg3677	5	42	94	function_dark_no_current_annotation	utg3677:18947-369355
utg3678	1	5	12	function_dark_no_current_annotation	utg3678:6219-41946
utg3697	1	10	19	function_dark_no_current_annotation	utg3697:2370-76949
utg36986	1	2	2	function_dark_no_current_annotation	utg36986:109383-119803
utg370	8	101	212	function_dark_no_current_annotation	utg370:2769-705307
utg372	8	53	132	function_dark_no_current_annotation	utg372:9734-519293
utg375	2	5	12	function_dark_no_current_annotation	utg375:17701-72122
utg3753	5	65	135	function_dark_no_current_annotation	utg3753:1881-798264
utg376	11	76	176	function_dark_no_current_annotation	utg376:13702-764357
utg3761	3	34	70	function_dark_no_current_annotation	utg3761:8678-198003
utg377	1	40	86	function_dark_no_current_annotation	utg377:3393-304494
utg378	6	192	485	function_dark_no_current_annotation	utg378:227-1608804
utg3787	3	52	146	function_dark_no_current_annotation	utg3787:3587-348312
utg379	12	105	265	function_dark_no_current_annotation	utg379:2-968383
utg3797	1	35	74	function_dark_no_current_annotation	utg3797:736-434377
utg3799	1	24	46	function_dark_no_current_annotation	utg3799:1800-133141
utg3800	1	3	4	function_dark_no_current_annotation	utg3800:19646-22177
utg3803	1	12	24	function_dark_no_current_annotation	utg3803:13867-98055
utg38078	2	17	32	function_dark_no_current_annotation	utg38078:3218-63452
utg381	5	82	211	function_dark_no_current_annotation	utg381:1751-831763
utg38114	5	21	40	function_dark_no_current_annotation	utg38114:10002-113959
utg382	10	59	156	function_dark_no_current_annotation	utg382:2205-473652
utg38230	1	5	8	function_dark_no_current_annotation	utg38230:588-46151
utg3827	3	43	97	function_dark_no_current_annotation	utg3827:1503-397133
utg3834	3	27	66	function_dark_no_current_annotation	utg3834:5707-345131
utg3839	10	117	267	function_dark_no_current_annotation	utg3839:1096-1022495
utg386	3	54	124	function_dark_no_current_annotation	utg386:4350-288908
utg3870	4	38	74	function_dark_no_current_annotation	utg3870:26268-191398
utg3871	1	16	39	function_dark_no_current_annotation	utg3871:8-185171
utg3872	6	86	204	function_dark_no_current_annotation	utg3872:1160-664544
utg3876	6	55	110	function_dark_no_current_annotation	utg3876:1716-379044
utg3878	4	51	114	function_dark_no_current_annotation	utg3878:30299-481214
utg388	4	20	38	function_dark_no_current_annotation	utg388:1085-173944
utg3884	5	60	159	function_dark_no_current_annotation	utg3884:2466-500944
utg389	8	108	248	function_dark_no_current_annotation	utg389:13404-1076332
utg3891	3	26	56	function_dark_no_current_annotation	utg3891:23223-193881
utg38965	1	4	6	function_dark_no_current_annotation	utg38965:17863-29497
utg3899	2	35	79	function_dark_no_current_annotation	utg3899:802-266470
utg3906	5	27	71	function_dark_no_current_annotation	utg3906:6425-287245
utg3913	5	55	108	function_dark_no_current_annotation	utg3913:254-317387
utg395	10	68	134	function_dark_no_current_annotation	utg395:16283-432630
utg39725	1	2	2	function_dark_no_current_annotation	utg39725:11438-12220
utg3980	2	21	42	function_dark_no_current_annotation	utg3980:4465-182998
utg3986	3	25	48	function_dark_no_current_annotation	utg3986:22550-148090
utg39996	1	6	10	function_dark_no_current_annotation	utg39996:1243-36156
utg4	9	88	192	function_dark_no_current_annotation	utg4:16926-887770
utg401	9	87	213	function_dark_no_current_annotation	utg401:1545-803936
utg402	3	36	75	function_dark_no_current_annotation	utg402:1719-233876
utg40335	3	9	19	function_dark_no_current_annotation	utg40335:2335-83997
utg4046	3	39	89	function_dark_no_current_annotation	utg4046:319-394250
utg4049	1	16	36	function_dark_no_current_annotation	utg4049:13303-216183
utg405	4	92	202	function_dark_no_current_annotation	utg405:7556-862772
utg4054	2	13	24	function_dark_no_current_annotation	utg4054:11549-122983
utg4062	3	22	52	function_dark_no_current_annotation	utg4062:5767-326542
utg407	1	18	40	function_dark_no_current_annotation	utg407:4179-239675
utg40724	1	9	16	function_dark_no_current_annotation	utg40724:6585-66861
utg4082	6	83	208	function_dark_no_current_annotation	utg4082:2401-644331
utg410	4	19	36	function_dark_no_current_annotation	utg410:17611-210055
utg411	9	150	382	function_dark_no_current_annotation	utg411:11547-1351577
utg413	2	56	144	function_dark_no_current_annotation	utg413:340-809758
utg4130	4	15	28	function_dark_no_current_annotation	utg4130:1215-202716
utg41344	1	18	34	function_dark_no_current_annotation	utg41344:6738-84028
utg415	10	145	347	function_dark_no_current_annotation	utg415:1184-1285134
utg4155	6	48	106	function_dark_no_current_annotation	utg4155:15481-385610
utg4157	7	57	139	function_dark_no_current_annotation	utg4157:3531-463980
utg4163	2	13	24	function_dark_no_current_annotation	utg4163:4571-137571
utg417	4	49	102	function_dark_no_current_annotation	utg417:7396-440001
utg4172	3	49	112	function_dark_no_current_annotation	utg4172:6530-333620
utg4177	4	71	178	function_dark_no_current_annotation	utg4177:1484-578852
utg418	7	99	202	function_dark_no_current_annotation	utg418:16075-640247
utg4187	6	58	139	function_dark_no_current_annotation	utg4187:2159-410628
utg4194	19	134	278	function_dark_no_current_annotation	utg4194:18225-1078766
utg420	14	148	372	function_dark_no_current_annotation	utg420:2716-1379957
utg4207	3	30	66	function_dark_no_current_annotation	utg4207:844-239244
utg42119	3	10	18	function_dark_no_current_annotation	utg42119:3430-92085
utg4231	1	7	12	function_dark_no_current_annotation	utg4231:11098-39198
utg42547	2	7	12	function_dark_no_current_annotation	utg42547:368-51706
utg4265	9	23	44	function_dark_no_current_annotation	utg4265:19235-120869
utg4271	12	91	194	function_dark_no_current_annotation	utg4271:2406-926941
utg4273	1	18	46	function_dark_no_current_annotation	utg4273:3892-214277
utg4290	1	41	84	function_dark_no_current_annotation	utg4290:4537-304812
utg42902	2	4	6	function_dark_no_current_annotation	utg42902:8066-45799
utg431	2	51	133	function_dark_no_current_annotation	utg431:29827-401854
utg43115	3	17	32	function_dark_no_current_annotation	utg43115:9926-52691
utg4318	2	36	74	function_dark_no_current_annotation	utg4318:1610-267927
utg432	5	155	400	function_dark_no_current_annotation	utg432:1938-1241978
utg4321	2	11	20	function_dark_no_current_annotation	utg4321:20627-164875
utg4326	2	45	108	function_dark_no_current_annotation	utg4326:11127-350547
utg4328	4	12	22	function_dark_no_current_annotation	utg4328:1792-63662
utg4341	1	7	12	function_dark_no_current_annotation	utg4341:9057-113346
utg43451	3	39	76	function_dark_no_current_annotation	utg43451:1958-240874
utg435	12	92	235	function_dark_no_current_annotation	utg435:7690-563706
utg4351	1	6	12	function_dark_no_current_annotation	utg4351:1607-45300
utg436	6	52	104	function_dark_no_current_annotation	utg436:16345-308281
utg438	2	30	71	function_dark_no_current_annotation	utg438:1188-364345
utg4383	3	32	64	function_dark_no_current_annotation	utg4383:7792-288776
utg439	3	55	155	function_dark_no_current_annotation	utg439:3598-558991
utg4398	8	22	42	function_dark_no_current_annotation	utg4398:3479-163668
utg441	6	47	98	function_dark_no_current_annotation	utg441:228-257352
utg4428	14	25	48	function_dark_no_current_annotation	utg4428:1460-94844
utg44408	1	11	24	function_dark_no_current_annotation	utg44408:1481-88236
utg4451	3	24	46	function_dark_no_current_annotation	utg4451:1839-243431
utg4455	7	91	210	function_dark_no_current_annotation	utg4455:391-809130
utg4464	1	32	64	function_dark_no_current_annotation	utg4464:2230-215492
utg4468	3	39	88	function_dark_no_current_annotation	utg4468:4954-403620
utg44757	1	2	2	function_dark_no_current_annotation	utg44757:16505-17398
utg4501	1	21	44	function_dark_no_current_annotation	utg4501:2155-162684
utg4502	2	16	32	function_dark_no_current_annotation	utg4502:3355-134121
utg45299	4	17	36	function_dark_no_current_annotation	utg45299:6315-96340
utg45405	2	12	26	function_dark_no_current_annotation	utg45405:14338-86385
utg45540	2	10	20	function_dark_no_current_annotation	utg45540:1085-83229
utg456	10	66	177	function_dark_no_current_annotation	utg456:826-879361
utg4567	4	38	82	function_dark_no_current_annotation	utg4567:8938-290393
utg4576	2	47	99	function_dark_no_current_annotation	utg4576:884-395360
utg45865	1	9	19	function_dark_no_current_annotation	utg45865:211-37581
utg4593	1	15	28	function_dark_no_current_annotation	utg4593:7866-94676
utg4604	2	24	46	function_dark_no_current_annotation	utg4604:1077-143804
utg4605	6	74	176	function_dark_no_current_annotation	utg4605:1719-855046
utg4607	1	38	90	function_dark_no_current_annotation	utg4607:1858-335309
utg4610	7	46	106	function_dark_no_current_annotation	utg4610:7597-350363
utg4613	11	100	198	function_dark_no_current_annotation	utg4613:28032-598105
utg4614	2	3	4	function_dark_no_current_annotation	utg4614:12656-28668
utg463	4	10	18	function_dark_no_current_annotation	utg463:4920-89942
utg464	29	227	461	function_dark_no_current_annotation	utg464:20766-1542052
utg4652	6	27	52	function_dark_no_current_annotation	utg4652:1015-164299
utg4661	1	19	36	function_dark_no_current_annotation	utg4661:10765-193431
utg4665	4	31	67	function_dark_no_current_annotation	utg4665:6513-261122
utg467	1	2	2	function_dark_no_current_annotation	utg467:6070-8844
utg469	2	11	22	function_dark_no_current_annotation	utg469:551-67445
utg4695	7	93	184	function_dark_no_current_annotation	utg4695:6941-490040
utg47	2	38	91	function_dark_no_current_annotation	utg47:3351-283797
utg470	9	96	242	function_dark_no_current_annotation	utg470:5793-882587
utg4709	2	35	72	function_dark_no_current_annotation	utg4709:8021-262180
utg4716	12	47	92	function_dark_no_current_annotation	utg4716:2259-234033
utg47361	1	4	6	function_dark_no_current_annotation	utg47361:7712-25236
utg4737	3	31	66	function_dark_no_current_annotation	utg4737:18523-297996
utg4739	5	25	52	function_dark_no_current_annotation	utg4739:18613-213626
utg477	1	37	82	function_dark_no_current_annotation	utg477:829-340875
utg479	20	193	514	function_dark_no_current_annotation	utg479:1832-1914711
utg4796	4	33	64	function_dark_no_current_annotation	utg4796:491-385246
utg48	5	62	152	function_dark_no_current_annotation	utg48:240-644499
utg4805	2	18	34	function_dark_no_current_annotation	utg4805:8201-68486
utg483	8	58	140	function_dark_no_current_annotation	utg483:5734-778989
utg48491	2	13	24	function_dark_no_current_annotation	utg48491:1100-111440
utg4856	2	46	101	function_dark_no_current_annotation	utg4856:2056-446604
utg4872	3	33	64	function_dark_no_current_annotation	utg4872:1552-336121
utg4879	10	48	94	function_dark_no_current_annotation	utg4879:11662-292167
